circuit_id,pitloss,totallap,medium_pace,medium_degradation
bahrain,22.04400000000001,57.0,97.913,0.13527072927072964
jeddah,,50.0,94.63900000000001,-0.010764285714285664
albert_park,25.807000000000016,58.0,83.34049999999999,-0.009988054187191987
baku,22.022999999999996,51.0,107.801,0.019992124542124547
miami,19.578000000000003,57.0,93.487,-0.06500741106719368
monaco,21.562999999999988,78.0,75.70750000000001,-0.023176775193362795
catalunya,19.886000000000024,66.0,87.39099999999999,0.11883851214574928
villeneuve,20.476,70.0,75.751,-0.0012477110694184227
red_bull_ring,20.535000000000025,71.0,70.268,0.020056564088086197
silverstone,,52.0,92.15199999999999,
hungaroring,18.661999999999978,70.0,83.578,-0.029044600818285037
spa,15.59899999999999,44.0,112.59800000000001,0.1395262848262846
zandvoort,21.694999999999993,72.0,76.2365,0.03263407224959023
monza,23.312000000000012,53.0,85.719,0.00021753246753262044
marina_bay,26.483000000000004,61.0,108.309,-0.06771391625615751
suzuka,20.751000000000005,52.0,93.5675,0.024374824032177167
losail,23.908999999999992,57.0,87.495,-0.05645776868059479
americas,21.87099999999998,56.0,101.458,-0.00331433361959685
rodriguez,22.822000000000003,71.0,82.681,0.012158444024593717
interlagos,18.590000000000003,71.0,73.099,0.045691884289601324
vegas,,,,
yas_marina,24.799000000000035,58.0,90.21549999999999,0.032696645279733615
